#i,time,PWM_l,PWM_r,x,y,theta
77,0.76,0.0,-7906.81757280536,1803.0899710808171,1308.052660593561,-77.4847924528302
78,0.77,0.0,-7563.042895726867,1800.1390600089671,1307.3976375796901,-78.13833962264152
79,0.78,0.0,-7219.268218648373,1797.3094864929499,1306.803330136927,-78.76347169811322
80,0.79,0.0,-6875.493541569878,1794.6025013195904,1306.2655389410083,-79.3601886792453
81,0.80,0.0,-6531.718864491385,1792.0192259031228,1305.7802340206654,-79.92849056603774
82,0.81,0.0,-6187.944187412891,1789.5606621186907,1305.3435583189494,-80.46837735849057
83,0.82,0.0,-5844.169510334397,1787.2277017423658,1304.9518308571114,-80.97984905660378
84,0.83,0.0,-5500.394833255903,1785.0211354843614,1304.6015495332085,-81.46290566037737
85,0.84,0.0,-5156.620156177409,1782.941661603696,1304.2893935863285,-81.91754716981133
86,0.85,0.0,-4812.845479098915,1780.9898940940348,1304.0122257559633,-82.34377358490568
87,0.86,0.0,-4469.070802020421,1779.1663704317143,1303.7670941646847,-82.7415849056604
88,0.87,0.0,-4125.296124941928,1777.471558878182,1303.551233950786,-83.1109811320755
89,0.88,0.0,-3781.5214478634334,1775.905865330149,1303.3620686761224,-83.45196226415095
90,0.89,0.0,-3437.746770784939,1774.4696397117095,1303.197211532799,-83.76452830188681
91,0.90,0.0,-3093.9720937064453,1773.163181903552,1303.0544663708424,-84.04867924528304
92,0.91,0.0,-2750.1974166279515,1771.9867472051374,1302.9318285674108,-84.30441509433965
93,0.92,0.0,-2406.4227395494577,1770.9405513263973,1302.827485756481,-84.53173584905662
94,0.93,0.0,-2062.648062470964,1770.0247749060836,1302.7398184363428,-84.73064150943398
95,0.94,0.0,-1718.8733853924696,1769.2395675544158,1302.6674004706201,-84.90113207547171
96,0.95,0.0,-1375.0987083139757,1768.5850514180966,1302.6089994968588,-85.04320754716983
97,0.96,0.0,-1031.324031235482,1768.0613242661602,1302.5635772551122,-85.15686792452831
98,0.97,0.0,-687.5493541569879,1767.668462095422,1302.5302898472673,-85.24211320754718
99,0.98,0.0,-343.77467707849394,1767.4065212545756,1302.5084879361912,-85.29894339622643
100,0.99,0.0,0.0,1767.275540086206,1302.497716892136,-85.32735849056606
101,1.00,343.77467707849394,343.77467707849394,1767.275540086206,1302.497716892136,-85.32735849056606
102,1.01,687.5493541569879,687.5493541569879,1767.5375130742486,1302.5191290607982,-85.32735849056606
103,1.02,1031.324031235482,1031.324031235482,1768.061459050332,1302.5619533981226,-85.32735849056606
104,1.03,1375.0987083139757,1375.0987083139757,1768.8473780144577,1302.6261899041092,-85.32735849056606
105,1.04,1718.8733853924696,1718.8733853924696,1769.8952699666243,1302.711838578758,-85.32735849056606
106,1.05,2062.648062470964,2062.648062470964,1771.2051349068333,1302.818899422071,-85.32735849056606
107,1.06,2406.4227395494577,2406.4227395494577,1772.7769728350831,1302.947372434046,-85.32735849056606
108,1.07,2750.1974166279515,2750.1974166279515,1774.6107837513755,1303.0972576146833,-85.32735849056606
109,1.08,3093.9720937064453,3093.9720937064453,1776.7065676557086,1303.2685549639828,-85.32735849056606
110,1.09,3437.746770784939,3437.746770784939,1779.0643245480842,1303.4612644819445,-85.32735849056606
111,1.10,3781.5214478634334,3781.5214478634334,1781.6840544285005,1303.6753861685684,-85.32735849056606
112,1.11,4125.296124941928,4125.296124941928,1784.5657572969594,1303.9109200238545,-85.32735849056606
113,1.12,4469.070802020421,4469.070802020421,1787.7094331534609,1304.1678660478028,-85.32735849056606
114,1.13,4812.845479098915,4812.845479098915,1791.115081998003,1304.4462242404134,-85.32735849056606
115,1.14,5156.620156177409,5156.620156177409,1794.7827038305877,1304.745994601688,-85.32735849056606
116,1.15,5500.394833255903,5500.394833255903,1798.7122986512131,1305.0671771316247,-85.32735849056606
117,1.16,5844.169510334397,5844.169510334397,1802.903866459881,1305.4097718302237,-85.32735849056606
118,1.17,6187.944187412891,6187.944187412891,1807.3574072565898,1305.7737786974849,-85.32735849056606
119,1.18,6531.718864491385,6531.718864491385,1812.072921041341,1306.1591977334083,-85.32735849056606
120,1.19,6875.493541569878,6875.493541569878,1817.050407814134,1306.566028937994,-85.32735849056606
121,1.20,7219.268218648373,7219.268218648373,1822.2898675749684,1306.9942723112417,-85.32735849056606
122,1.21,7563.042895726867,7563.042895726867,1827.7913003238446,1307.4439278531518,-85.32735849056606
123,1.22,7906.81757280536,7906.81757280536,1833.5547060607623,1307.914995563724,-85.32735849056606
124,1.23,8250.592249883855,8250.592249883855,1839.5800847857217,1308.4074754429603,-85.32735849056606
125,1.24,8594.366926962348,8594.366926962348,1845.8674364987228,1308.9213674908588,-85.32735849056606
126,1.25,8938.141604040842,8938.141604040842,1852.4167611997655,1309.4566717074194,-85.32735849056606
127,1.26,9281.916281119336,9281.916281119336,1859.2280588888507,1310.0133880926423,-85.32735849056606
128,1.27,9625.69095819783,9625.69095819783,1866.3013295659775,1310.5915166465275,-85.32735849056606
129,1.28,9969.465635276325,9969.465635276325,1873.636573231146,1311.1910573690748,-85.32735849056606
130,1.29,10313.240312354817,10313.240312354817,1881.2337898843562,1311.8120102602843,-85.32735849056606
131,1.30,10657.014989433312,10657.014989433312,1889.092979525608,1312.454375320156,-85.32735849056606
132,1.31,11000.789666511806,11000.789666511806,1897.2141421549013,1313.11815254869,-85.32735849056606
133,1.32,11344.5643435903,11344.5643435903,1905.5972777722363,1313.803341945888,-85.32735849056606
134,1.33,11688.339020668795,11688.339020668795,1914.242386377613,1314.5099435117481,-85.32735849056606
135,1.34,12032.113697747287,12032.113697747287,1923.1494679710313,1315.2379572462705,-85.32735849056606
136,1.35,12375.888374825781,12375.888374825781,1932.3185225524912,1315.9873831494551,-85.32735849056606
137,1.36,12719.663051904276,12719.663051904276,1941.7495501219937,1316.758221221302,-85.32735849056606
138,1.37,13063.43772898277,13063.43772898277,1951.4425506795378,1317.550471461811,-85.32735849056606
139,1.38,13407.212406061264,13407.212406061264,1961.3975242251236,1318.3641338709822,-85.32735849056606
140,1.39,13750.987083139757,13750.987083139757,1971.614470758751,1319.1992084488156,-85.32735849056606
141,1.40,14094.76176021825,14094.76176021825,1982.09339028042,1320.0556951953113,-85.32735849056606
142,1.41,14438.536437296745,14438.536437296745,1992.8342827901306,1320.933594110471,-85.32735849056606
143,1.42,14782.31111437524,14782.31111437524,2003.8371482878829,1321.8329051942928,-85.32735849056606
144,1.43,15126.085791453734,15126.085791453734,2015.1019867736768,1322.753628446777,-85.32735849056606
145,1.44,15469.860468532228,15469.860468532228,2026.6287982475123,1323.6957638679232,-85.32735849056606
146,1.45,15813.63514561072,15813.63514561072,2038.4175827093895,1324.6593114577317,-85.32735849056606
147,1.46,16157.409822689215,16157.409822689215,2050.4683401593093,1325.6442712162025,-85.32735849056606
148,1.47,16501.18449976771,16501.18449976771,2062.7810705972706,1326.6506431433354,-85.32735849056606
149,1.48,16844.9591768462,16844.9591768462,2075.3557740232736,1327.6784272391305,-85.32735849056606
150,1.49,17188.733853924696,17188.733853924696,2088.1924504373183,1328.727623503588,-85.32735849056606
151,1.50,17188.733853924696,17188.733853924696,2101.2910998394045,1329.7982319367093,-85.32735849056606
152,1.51,17188.733853924696,17188.733853924696,2114.389749241491,1330.8688403698307,-85.32735849056606
153,1.52,17188.733853924696,17188.733853924696,2127.488398643577,1331.939448802952,-85.32735849056606
154,1.53,17188.733853924696,17188.733853924696,2140.5870480456633,1333.0100572360734,-85.32735849056606
155,1.54,17188.733853924696,17188.733853924696,2153.6856974477496,1334.0806656691948,-85.32735849056606
156,1.55,17188.733853924696,17188.733853924696,2166.784346849836,1335.1512741023162,-85.32735849056606
157,1.56,17188.733853924696,17188.733853924696,2179.882996251922,1336.2218825354375,-85.32735849056606
158,1.57,17188.733853924696,17188.733853924696,2192.9816456540084,1337.292490968559,-85.32735849056606
159,1.58,17188.733853924696,17188.733853924696,2206.0802950560947,1338.3630994016803,-85.32735849056606
160,1.59,17188.733853924696,17188.733853924696,2219.178944458181,1339.4337078348017,-85.32735849056606
161,1.60,17188.733853924696,17188.733853924696,2232.277593860267,1340.504316267923,-85.32735849056606
162,1.61,17188.733853924696,17188.733853924696,2245.3762432623535,1341.5749247010444,-85.32735849056606
163,1.62,17188.733853924696,17188.733853924696,2258.4748926644397,1342.6455331341658,-85.32735849056606
164,1.63,17188.733853924696,17188.733853924696,2271.573542066526,1343.7161415672872,-85.32735849056606
165,1.64,17188.733853924696,17188.733853924696,2284.6721914686123,1344.7867500004086,-85.32735849056606
166,1.65,17188.733853924696,17188.733853924696,2297.7708408706985,1345.85735843353,-85.32735849056606
167,1.66,17188.733853924696,17188.733853924696,2310.869490272785,1346.9279668666513,-85.32735849056606
168,1.67,17188.733853924696,17188.733853924696,2323.968139674871,1347.9985752997727,-85.32735849056606
169,1.68,17188.733853924696,17188.733853924696,2337.0667890769573,1349.069183732894,-85.32735849056606
170,1.69,17188.733853924696,17188.733853924696,2350.1654384790436,1350.1397921660155,-85.32735849056606
171,1.70,17188.733853924696,17188.733853924696,2363.26408788113,1351.2104005991368,-85.32735849056606
172,1.71,17188.733853924696,17188.733853924696,2376.362737283216,1352.2810090322582,-85.32735849056606
173,1.72,17188.733853924696,17188.733853924696,2389.4613866853024,1353.3516174653796,-85.32735849056606
174,1.73,17188.733853924696,17188.733853924696,2402.5600360873887,1354.422225898501,-85.32735849056606
175,1.74,17188.733853924696,17188.733853924696,2415.658685489475,1355.4928343316224,-85.32735849056606
176,1.75,17188.733853924696,17188.733853924696,2428.757334891561,1356.5634427647437,-85.32735849056606
177,1.76,17188.733853924696,17188.733853924696,2441.8559842936475,1357.6340511978651,-85.32735849056606
178,1.77,17188.733853924696,17188.733853924696,2454.9546336957337,1358.7046596309865,-85.32735849056606
179,1.78,17188.733853924696,17188.733853924696,2468.05328309782,1359.7752680641079,-85.32735849056606
180,1.79,17188.733853924696,17188.733853924696,2481.1519324999063,1360.8458764972293,-85.32735849056606
181,1.80,17188.733853924696,17188.733853924696,2494.2505819019925,1361.9164849303506,-85.32735849056606
182,1.81,17188.733853924696,17188.733853924696,2507.349231304079,1362.987093363472,-85.32735849056606
183,1.82,17188.733853924696,17188.733853924696,2520.447880706165,1364.0577017965934,-85.32735849056606
184,1.83,17188.733853924696,17188.733853924696,2533.5465301082513,1365.1283102297148,-85.32735849056606
185,1.84,17188.733853924696,17188.733853924696,2546.6451795103376,1366.1989186628361,-85.32735849056606
186,1.85,17188.733853924696,17188.733853924696,2559.743828912424,1367.2695270959575,-85.32735849056606
187,1.86,17188.733853924696,17188.733853924696,2572.84247831451,1368.340135529079,-85.32735849056606
188,1.87,17188.733853924696,17188.733853924696,2585.9411277165964,1369.4107439622003,-85.32735849056606
189,1.88,17188.733853924696,17188.733853924696,2599.0397771186827,1370.4813523953217,-85.32735849056606
190,1.89,17188.733853924696,17188.733853924696,2612.138426520769,1371.551960828443,-85.32735849056606
191,1.90,17188.733853924696,17188.733853924696,2625.237075922855,1372.6225692615644,-85.32735849056606
192,1.91,17188.733853924696,17188.733853924696,2638.3357253249414,1373.6931776946858,-85.32735849056606
193,1.92,17188.733853924696,17188.733853924696,2651.4343747270277,1374.7637861278072,-85.32735849056606
194,1.93,17188.733853924696,17188.733853924696,2664.533024129114,1375.8343945609286,-85.32735849056606
195,1.94,17188.733853924696,17188.733853924696,2677.6316735312002,1376.90500299405,-85.32735849056606
196,1.95,17188.733853924696,17188.733853924696,2690.7303229332865,1377.9756114271713,-85.32735849056606
197,1.96,17188.733853924696,17188.733853924696,2703.828972335373,1379.0462198602927,-85.32735849056606
198,1.97,17188.733853924696,17188.733853924696,2716.927621737459,1380.116828293414,-85.32735849056606
199,1.98,17188.733853924696,17188.733853924696,2730.0262711395453,1381.1874367265355,-85.32735849056606
200,1.99,17188.733853924696,17188.733853924696,2743.1249205416316,1382.2580451596568,-85.32735849056606
201,2.00,16959.550735872366,17303.32541295086,2756.223569943718,1383.3286535927782,-85.32735849056606
202,2.01,16730.367617820037,17417.916971977025,2769.27855718113,1384.395693331122,-85.29894339622643
203,2.02,16501.18449976771,17532.50853100319,2782.289353239211,1385.4656170405597,-85.24211320754718
204,2.03,16272.00138171538,17647.100090029355,2795.2554248611477,1386.5448116388507,-85.15686792452831
205,2.04,16042.81826366305,17761.69164905552,2808.1762251432056,1387.6395974968873,-85.04320754716983
206,2.05,15813.63514561072,17876.283208081684,2821.051184294991,1388.7562276064855,-84.90113207547171
207,2.06,15584.452027558393,17990.87476710785,2833.879700566863,1389.9008866922195,-84.73064150943398
208,2.07,15355.268909506063,18105.466326134014,2846.661131346793,1391.0796902453803,-84.53173584905662
209,2.08,15126.085791453734,18220.05788516018,2859.3947844292425,1392.298683458721,-84.30441509433965
210,2.09,14896.902673401404,18334.649444186343,2872.0799094589656,1393.5638400412445,-84.04867924528304
211,2.10,14667.719555349075,18449.241003212508,2884.715689553049,1394.8810608929107,-83.76452830188681
212,2.11,14438.536437296745,18563.832562238673,2897.3012331049686,1396.2561726197637,-83.45196226415095
213,2.12,14209.353319244416,18678.424121264838,2909.835565774988,1397.6949258705918,-83.1109811320755
214,2.13,13980.170201192086,18793.015680291002,2922.3176226718106,1399.2029934769325,-82.7415849056604
215,2.14,13750.987083139757,18907.607239317167,2934.7462407310495,1400.7859683788538,-82.34377358490568
216,2.15,13521.803965087429,19022.198798343332,2947.1201512967964,1402.4493613196773,-81.91754716981133
217,2.16,13292.6208470351,19136.790357369497,2959.4379729133216,1404.1985982935348,-81.46290566037737
218,2.17,13063.43772898277,19251.38191639566,2971.6982043347434,1406.0390177303525,-80.97984905660378
219,2.18,12834.25461093044,19365.973475421826,2983.89921776136,1407.9758674036966,-80.46837735849059
220,2.19,12605.07149287811,19480.56503444799,2996.0392523122327,1410.0143010477059,-79.92849056603775
221,2.20,12375.888374825781,19595.156593474156,3008.116407744529,1412.1593746701674,-79.3601886792453
222,2.21,12146.705256773452,19709.74815250032,3020.1286384311024,1414.4160425497612,-78.76347169811322
223,2.22,11917.522138721124,19824.339711526485,3032.0737476087834,1416.7891529063545,-78.13833962264152
224,2.23,11688.339020668795,19938.93127055265,3043.9493819108566,1419.283443234317,-77.4847924528302
225,2.24,11459.155902616465,20053.522829578815,3055.753026198254,1421.9035352897972,-76.80283018867925
226,2.25,11229.972784564136,20168.114388604976,3067.4819987050296,1424.6539297240852,-76.0924528301887
227,2.26,11000.789666511806,20282.70594763114,3079.1334465147556,1427.5390003562861,-75.35366037735851
228,2.27,10771.606548459476,20397.297506657305,3090.7043413855245,1430.5629880798515,-74.58645283018869
229,2.28,10542.423430407147,20511.88906568347,3102.1914759423344,1433.7299943987437,-73.79083018867927
230,2.29,10313.240312354817,20626.480624709635,3113.5914602566654,1437.0439745904623,-72.9667924528302
231,2.30,10084.057194302488,20741.0721837358,3124.9007188340993,1440.5087304945864,-72.11433962264152
232,2.31,9854.87407625016,20855.663742761964,3136.1154880318727,1444.1279029270445,-71.23347169811322
233,2.32,9625.69095819783,20970.25530178813,3147.2318139292156,1447.9049637219487,-70.3241886792453
234,2.33,9396.507840145501,21084.846860814294,3158.24555067431,1451.8432074045686,-69.38649056603775
235,2.34,9167.324722093172,21199.43841984046,3169.1523593325837,1455.9457425007895,-68.42037735849058
236,2.35,8938.141604040842,21314.029978866623,3179.947707261941,1460.2154824903482,-67.42584905660378
237,2.36,8708.958485988513,21428.62153789279,3190.626868041296,1464.655136413101,-66.40290566037737
238,2.37,8479.775367936183,21543.213096918953,3201.1849219795204,1469.26719913968,-65.35154716981133
239,2.38,8250.592249883855,21657.804655945118,3211.6167572325385,1474.0539413201077,-64.27177358490567
240,2.39,8021.409131831525,21772.396214971282,3221.91707155687,1479.0173990261865,-63.163584905660386
241,2.40,7792.226013779196,21886.987773997447,3232.080374728348,1484.1593631059077,-62.02698113207549
242,2.41,7563.042895726867,22001.579333023612,3242.1009916550947,1489.481368270579,-60.86196226415096
243,2.42,7333.859777674537,22116.170892049777,3251.9730662140228,1494.9846819379673,-59.66852830188681
244,2.43,7104.676659622208,22230.76245107594,3261.690565840224,1500.6702928573995,-58.44667924528303
245,2.44,6875.493541569878,22345.354010102106,3271.2472868985205,1506.5388995455687,-57.19641509433964
246,2.45,6646.31042351755,22459.94556912827,3280.636860866218,1512.5908985645874,-55.917735849056626
247,2.46,6417.12730546522,22574.537128154436,3289.85276135569,1518.8263726768055,-54.61064150943398
248,2.47,6187.944187412891,22689.1286871806,3298.888312004844,1525.2450789138857,-53.27513207547172
249,2.48,5958.761069360562,22803.720246206765,3307.7366952627,1531.8464366006956,-51.91120754716983
250,2.49,5729.5779513082325,22918.31180523293,3316.3909620963304,1538.6295153777428,-50.51886792452832
251,2.50,5958.761069360562,22803.720246206765,3324.8440426441766,1545.5930232689934,-49.09811320754719
252,2.51,6187.944187412891,22689.1286871806,3333.1549804512943,1552.792662488393,-47.70577358490568
253,2.52,6417.12730546522,22574.537128154436,3341.320928417188,1560.2215993844384,-46.34184905660379
254,2.53,6646.31042351755,22459.94556912827,3349.339427492023,1567.8730461677733,-45.00633962264153
255,2.54,6875.493541569878,22345.354010102106,3357.208396884309,1575.7402743924558,-43.69924528301889
256,2.55,7104.676659622208,22230.76245107594,3364.9261240126452,1583.816627492315,-42.42056603773587
257,2.56,7333.859777674537,22116.170892049777,3372.4912542550364,1592.0955323874186,-41.17030188679248
258,2.57,7563.042895726867,22001.579333023612,3379.9027805463857,1600.5705101776566,-39.9484528301887
259,2.58,7792.226013779196,21886.987773997447,3387.160032871783,1609.2351859421724,-38.755018867924555
260,2.59,8021.409131831525,21772.396214971282,3394.2626677003145,1618.0832976649035,-37.590000000000025
261,2.60,8250.592249883855,21657.804655945118,3401.2106574011677,1627.1087043077841,-36.453396226415116
262,2.61,8479.775367936183,21543.213096918953,3408.004279680972,1636.305393054252,-35.345207547169835
263,2.62,8708.958485988513,21428.62153789279,3414.644107078443,1645.6674857465823,-34.265433962264176
264,2.63,8938.141604040842,21314.029978866623,3421.130996549652,1655.189244541294,-33.21407547169814
265,2.64,9167.324722093172,21199.43841984046,3427.466079174488,1664.8650768073912,-32.19113207547172
266,2.65,9396.507840145501,21084.846860814294,3433.650750012248,1674.6895392925799,-31.196603773584926
267,2.66,9625.69095819783,20970.25530178813,3439.68665813168,1684.6573415828389,-30.23049056603775
268,2.67,9854.87407625016,20855.663742761964,3445.5756968383075,1694.763348880766,-29.292792452830206
269,2.68,10084.057194302488,20741.0721837358,3451.3199941194107,1705.0025841281204,-28.38350943396228
270,2.69,10313.240312354817,20626.480624709635,3456.921903324688,1715.3702294977793,-27.50264150943398
271,2.70,10542.423430407147,20511.88906568347,3462.38399409835,1725.8616272800919,-26.650188679245304
272,2.71,10771.606548459476,20397.297506657305,3467.7090435761984,1736.4722801882108,-25.826150943396247
273,2.72,11000.789666511806,20282.70594763114,3472.9000278591357,1747.1978511065572,-25.03052830188681
274,2.73,11229.972784564136,20168.114388604976,3477.9601137725185,1758.0341623060303,-24.263320754717004
275,2.74,11459.155902616465,20053.522829578815,3482.892650918846,1768.9771941489726,-23.524528301886818
