i,time,PWM_l,PWM_r,x,y,theta
67,6.7,0.25,0.5,-477.32612998046847,-655.3249095616253,5.9350136862043605
68,6.800000000000001,0.25,0.5,-467.30417981865503,-658.9451118512005,6.001886469388351
69,6.9,0.25,0.5,-457.15063532420953,-661.9013155157677,6.067483027693568
70,7.0,0.25,0.5,-446.8350349517762,-664.178977888672,6.133475806392693
71,7.1000000000000005,0.25,0.5,-436.056022841595,-665.7635809215132,6.199365601273072
72,7.2,0.25,0.5,-425.4839498851853,-666.6560129108183,6.265549687315912
73,7.300000000000001,0.25,0.5,-414.8729837584948,-666.8421114092528,0.04858106026251097
74,7.4,0.25,0.5,-404.185245970351,-666.3205756677021,0.1154204167767043
75,7.5,0.25,0.5,-393.7190552204146,-665.1082581285073,0.18051269168837322
76,7.6000000000000005,0.25,0.5,-383.1480781942481,-663.228662756078,0.24639537371880457
77,7.7,0.25,0.5,-372.8974040203342,-660.5967886509322,0.31303224254637985
78,7.800000000000001,0.25,0.5,-362.8566240747614,-657.3600373953659,0.37882598111673477
79,7.9,0.25,0.5,-353.1263489576326,-653.4579649673816,0.44476638245948097
80,8.0,0.25,0.5,-343.482922526143,-648.9126260751033,0.5106069757263991
81,8.1,0.25,0.5,-334.2326176317502,-643.6584426017041,0.5762861578789794
82,8.200000000000001,0.25,0.5,-325.3147691202035,-637.9189221126883,0.6435991391733715
83,8.3,0.25,0.5,-316.852576044306,-631.5774467219823,0.7102021130864363
84,8.4,0.25,0.5,-308.8818375933265,-624.7040897447489,0.7758515990566239
85,8.5,0.25,0.5,-301.3225074368238,-617.1791088120892,0.8412640796381701
86,8.6,0.25,0.5,-294.3002868592225,-609.3107970304371,0.9084037311169073
87,8.700000000000001,0.25,0.5,-287.79001980999817,-600.9040499178082,0.9753406310736025
88,8.8,0.25,0.5,-281.8420725452884,-592.1336092986402,1.0416628488790896
89,8.9,0.25,0.5,-276.46212723875277,-582.9625229398301,1.1066949164224236
90,9.0,0.25,0.5,-271.6785691607339,-573.6007039839591,1.1729698406430016
91,9.1,0.25,0.5,-267.532236881337,-563.7248631449091,1.2377766656736584
92,9.200000000000001,0.25,0.5,-264.10243071932365,-553.729449237247,1.3033607212425427
93,9.3,0.25,0.5,-261.3147751063569,-543.4151296544051,1.3692017345457415
94,9.4,0.25,0.5,-259.19171444051966,-533.0704939895928,1.4357466511663404
95,9.5,0.25,0.5,-257.78383171752023,-522.7649668491717,1.5018449036168577
96,9.600000000000001,0.25,0.5,-257.04586474798776,-512.0132401231001,1.567964819740034
97,9.700000000000001,0.25,0.5,-257.0154970949605,-501.3639475990427,1.634582765830405
98,9.8,0.25,0.5,-257.70915249544106,-490.7994657920992,1.7010348426029178
99,9.9,0.25,0.5,-259.077382622907,-480.0940530912854,1.76759051242898
100,10.0,0.25,0.5,-261.1147354640568,-469.650596772305,1.833553289046066
101,10.100000000000001,0.25,0.5,-263.8619809601075,-459.2602335404133,1.8985364913644565
102,10.200000000000001,0.25,0.5,-267.2533205228385,-449.25966189933325,1.9641286666796716
103,10.3,0.25,0.5,-271.40020833166443,-439.5016497865202,2.029127202800597
104,10.4,0.25,0.5,-276.0903770993471,-429.9955118054918,2.0958590303079423
105,10.5,0.25,0.5,-281.4514985233264,-420.74488502071165,2.162938528820927
106,10.600000000000001,0.25,0.5,-287.3369893472719,-411.8729839490484,2.2290783789571647
107,10.700000000000001,0.25,0.5,-293.8968604130087,-403.5704229673532,2.2958729472688173
108,10.8,0.25,0.5,-301.0479369600948,-395.55568588286275,2.3618542179038546
109,10.9,0.25,0.5,-308.62894330727767,-388.1200139097088,2.4292669986881124
110,11.0,0.25,0.5,-316.7287067447553,-381.2750967861686,2.495392279351262
111,11.100000000000001,0.25,0.5,-325.1746030683367,-374.80518644051506,2.5633304693607952
112,11.200000000000001,0.25,0.5,-334.0581080470572,-369.0256900586422,2.6294647776737157
